"paymill_credit_card","Kreditkarte"
"paymill_direct_debit","Lastschrift"
"paymill_creditcard","Kreditkarte"
"paymill_directdebit","Lastschrift"
"paymill_Basic_Setting","Paymill Grundeinstellungen"
"paymill_Public_Key","Public Key"
"paymill_Private_Key","Private Key"
"paymill_Activate_Debugging","Debugging aktivieren"
"paymill_fc_active","One Step Checkout erlauben"
"paymill_Activate_Logging","Logging aktivieren"
"paymill_Show_Label","Paymill Label im Checkout anzeigen"
"paymill_credit_card_label","Kreditkarte"
"paymill_direct_debit_label","Lastschrift"
"paymill_opt_Enabled","aktivieren"
"paymill_opt_Countries","Länder"
"paymill_opt_Sort","Anzeigeposition"
"paymill_Number","Nummer"
"paymill_Cvc","CVC"
"paymill_Holder","Inhaber"
"paymill_Date","Gültig bis"
"paymill_Amount","Betrag"
"paymill_Currency","Währung"
"paymill_public_key_tooltip","Bitte geben Sie hier Ihren Public Key ein."
"paymill_public_key_comment","Ihren Public Key können Sie dem Paymill Cockpit entnehmen."
"paymill_private_key_tooltip","Bitte geben Sie hier Ihren Private Key ein."
"paymill_private_key_comment","Ihren Private Key können Sie dem Paymill Cockpit entnehmen."
"paymill_error_text_invalid_number_cc","Bitte geben Sie eine gültige Kreditkartennummer ein."
"paymill_error_text_invalid_number_elv","Bitte geben Sie eine gültige Kontonummer ein"
"paymill_error_text_invalid_expdate","Ungültiges Ablaufdatum"
"paymill_error_text_invalid_holder_cc","Bitte geben Sie einen Karteninhaber an."
"paymill_error_text_invalid_holder_elv","Bitte geben Sie einen Kontoinhaber an."
"paymill_error_text_invalid_bankcode","Ungültige Bankleitzahl"
"paymill_error_text_invalid_payment","Zahlart konnte nicht identifiziert werden. Bitte kontaktieren Sie den Support."
"paymill_account","Kontonummer"
"paymill_bankcode","Bankleitzahl"
"paymill_log","Paymill Log"
"paymill_error_text_no_entry_selected","Bitte wählen Sie einen Eintrag aus"
"paymill_action_delete", "Auswahl löschen"
"paymill_dialog_confirm", "Sind Sie sicher?"
"paymill_backend_log_id","ID"
"paymill_backend_log_entry_date","Eintragsdatum"
"paymill_backend_log_version","Version"
"paymill_backend_log_merchant_info","Händler Informationen"
"paymill_backend_log_dev_info","Entwickler Informationen"
"paymill_backend_log_dev_info_additional","Weitere Entwickler Informationen"
"paymill_checkout_generating_invoice","Rechnung wird generiert"
"paymill_preAuth_active","Kreditkarten transaktionen im Checkout authorisieren, Buchung bei Rechnungsgenerierung durchführen."
"paymill_token_tolerace","Token Toleranz Wert"
"paymill_token_tolerace_tooltip","Wert der bei Generierung des Paymill Tokens aufgeschlagen wird, um 3DSecure Abweichungen zu vermeiden"
"paymill_token_tolerace_comment", "Wert der bei Generierung des Paymill Tokens aufgeschlagen wird, um 3DSecure Abweichungen zu vermeiden"
"paymill_log_action_success", "Aktion erfolgreich"
"paymill_accepted_currency", "Aktzeptierte Währungen"
